Item Details,Amount,Quantity,Sale_Price,UPC_Code,Order_Type,Order_Date,Total_Savings,Original_Item_Total,Item_Coupons_Sales,Fulfillment_Fee,Sales_Tax,Order_Total,Item_Count,Payment_Amount
Angel Soft¨ Mega Toilet Paper,12.79,1,$12.79 each,3040079423,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Archway Iced Oatmeal Cookies,4.79,1,$4.79 each,2750009533,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Ball Park White Hot Dog Buns,3.99,1,$3.99 each,5040075116,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Ball Park¨ Bun Size Beef Franks,3.5,1,$6.49 each,5450019329,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Boulder Canyon¨ BBQ Chips,3.99,1,$4.29 each,70816321011,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Coca-Cola¨ Soda Cans,8.99,1,$8.99 each,4900002890,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Dean's¨ French Onion Dip,2,1,$3.69 each,2670012915,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
DIGIORNO Pepperoni Pizza,7.99,1,$8.99 each,7192163896,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Doritos¨ Nacho Cheese Chips,5.49,1,$5.49 each,2840051646,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Fritos¨ Scoops! Corn Chips,4.99,1,$5.49 each,2840058932,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Hillshire Farm¨ Smoked Sausage,4.79,1,$4.79 each,4450034171,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Iceberg Lettuce,1.79,1,$1.79 each,4061,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
Jennie-O Oven Ready Turkey Breast,12.99,1,$14.99 each,4222233641,Pickup,12/19/23,20.66,196.53,-15.71,0,8.71,189.53,37,189.53
